Breed,De-sexed,Gender,Suburb
Labrador                                ,Y,M,LOWER MITCHAM                      
Chihuahua                               ,N,F,CLAPHAM                            
Maltese                                 ,Y,M,ST MARYS                           
Maltese                                 ,Y,F,CRAIGBURN FARM                     
Golden Retriever                        ,Y,M,CLARENCE GARDENS                   
Maltese                                 ,Y,M,COLONEL LIGHT GARDENS              
Golden Retriever                        ,Y,M,CUMBERLAND PARK                    
Maltese                                 ,Y,F,HAWTHORN                           
Golden Retriever                        ,Y,M,HAWTHORN                           
Australian Kelpie                       ,Y,F,COLONEL LIGHT GARDENS              
Maltese                                 ,Y,M,CRAIGBURN FARM                     
Cairn Terrier                           ,N,M,KINGSWOOD                          
Australian Kelpie                       ,Y,F,HAWTHORNDENE                       
Cross                                   ,Y,M,PANORAMA                           
Labradoodle                             ,Y,M,PANORAMA                           
Bulldog                                 ,Y,M,BLACKWOOD                          
Maltese                                 ,Y,M,PANORAMA                           
Poodle                                  ,N,M,EDEN HILLS                         
Spoodle                                 ,Y,F,NETHERBY                           
Chihuahua                               ,N,F,BEDFORD PARK                       
Chihuahua                               ,Y,M,CUMBERLAND PARK                    
Papillon                                ,Y,M,PANORAMA                           
Italian Greyhound                       ,Y,F,COROMANDEL VALLEY                  
Jack Russell Terrier                    ,N,M,NETHERBY                           
Border Collie                           ,Y,M,DAW PARK                           
Shetland Sheepdog                       ,Y,M,BELLEVUE HEIGHTS                   
German Shorthaired Pointer              ,N,F,BLACKWOOD                          
German Shepherd                         ,Y,M,GLENALTA                           
Alaskan Malamute                        ,Y,M,MITCHAM                            
Border Collie                           ,Y,M,COROMANDEL VALLEY                  
Cocker Spaniel                          ,N,M,CUMBERLAND PARK                    
Golden Retriever                        ,N,M,LOWER MITCHAM                      
Australian Kelpie                       ,Y,M,BELAIR                             
Cavoodle                                ,Y,M,COLONEL LIGHT GARDENS              
Heeler                                  ,Y,M,BLACKWOOD                          
Australian Kelpie                       ,Y,M,BLACKWOOD                          
Shih Tzu                                ,Y,M,COLONEL LIGHT GARDENS              
Australian Kelpie                       ,Y,M,HAWTHORNDENE                       
Labrador                                ,Y,M,URRBRAE                            
Labrador                                ,Y,M,PASADENA                           
Labrador                                ,Y,M,EDEN HILLS                         
Chinese Crested                         ,Y,M,BLACKWOOD                          
Poodle                                  ,N,M,CRAFERS WEST                       
Staffordshire Bull Terrier              ,Y,M,PANORAMA                           
Boxer                                   ,Y,M,GLENALTA                           
Jack Russell Terrier                    ,Y,M,BELAIR                             
Labrador                                ,Y,F,BELAIR                             
Greyhound                               ,Y,M,BLACKWOOD                          
Poodle                                  ,N,M,BLACKWOOD                          
Labrador                                ,Y,F,WESTBOURNE PARK                    
