Breed_Description,desexed,sex,Suburb
Chihuahua X,no,Male,ELIZABETH PARK
Jack Russell Terrier,no,Male,HILLBANK
Rottweiler,no,Female,CRAIGMORE
Australian Kelpie X,no,Male,ELIZABETH VALE
Australian Cattle Dog X,yes,Female,MUNNO PARA
Cavalier King Charles Spaniel,no,Female,CRAIGMORE
Golden Retriever,no,Male,MUNNO PARA
Maltese X,no,Male,ELIZABETH EAST
Australian Silky Terrier X,yes,Female,ELIZABETH VALE
Bichon Frise,yes,Female,ELIZABETH VALE
Australian Kelpie X,yes,Female,ONE TREE HILL
Maltese X,no,Female,ELIZABETH DOWNS
Australian Cattle Dog X,no,Female,CRAIGMORE
Terrier,no,Male,CRAIGMORE
German Shepherd Dog,no,Female,SMITHFIELD
Maltese,no,Female,ELIZABETH EAST
Chihuahua,yes,Male,CRAIGMORE
Australian Cattle Dog X,no,Male,ELIZABETH GROVE
Collie (Rough),no,Female,BLAKEVIEW
Jack Russell Terrier X,no,Male,ELIZABETH NORTH
Maltese,yes,Male,ANDREWS FARM
X Breed,no,Male,ELIZABETH SOUTH
Cavalier King Charles Spaniel,no,Male,ELIZABETH PARK
Schnauzer,yes,Female,CRAIGMORE
Schnauzer,yes,Male,CRAIGMORE
English Springer Spaniel,no,Female,CRAIGMORE
X Breed,yes,Female,DAVOREN PARK
Dobermann,no,Female,DAVOREN PARK
Australian Kelpie X,no,Female,ELIZABETH SOUTH
Fox Terrier (Smooth),yes,Female,SMITHFIELD PLAINS
Jack Russell Terrier,no,Female,ELIZABETH NORTH
Collie (Rough),no,Male,WATERLOO CORNER
Australian Silky Terrier,no,Male,ONE TREE HILL
Cavalier King Charles Spaniel X,no,Female,CRAIGMORE
Collie (Rough Coat) X,no,Female,HILLBANK
Maltese X,yes,Male,CRAIGMORE
Cavalier King Charles Spaniel,yes,Female,MUNNO PARA
Poodle X,no,Female,MUNNO PARA WEST
Staffordshire Bull Terrier X,no,Male,BUCKLAND PARK
X Breed,no,Female,ELIZABETH NORTH
German Shepherd Dog X,no,Male,ELIZABETH DOWNS
German Shepherd Dog,yes,Male,ANGLE VALE
Border Collie,yes,Female,YATTALUNGA
Border Collie,yes,Female,YATTALUNGA
Australian Cattle Dog,yes,Female,PENFIELD
Shih Tzu,no,Male,ANGLE VALE
Australian Kelpie X,yes,Female,HUMBUG SCRUB
Border Collie X,no,Male,ANDREWS FARM
Australian Kelpie X,no,Female,ANGLE VALE
Fox Terrier (Smooth),no,Male,ANDREWS FARM
Maltese X,no,Male,ELIZABETH DOWNS
Australian Silky Terrier X,no,Female,ELIZABETH PARK
Jack Russell Terrier,no,Male,ELIZABETH VALE
Australian Silky Terrier,yes,Female,CRAIGMORE
Jack Russell Terrier,yes,Male,CRAIGMORE
Jack Russell Terrier,yes,Female,BLAKEVIEW
Australian Cattle Dog X,yes,Male,SMITHFIELD
Jack Russell Terrier,yes,Female,HILLBANK
Maltese,yes,Male,HILLBANK
Australian Silky Terrier,yes,Female,CRAIGMORE
Border Collie,no,Female,CRAIGMORE
Jack Russell Terrier X,no,Male,ELIZABETH VALE
Rhodesian Ridgeback,no,Male,ELIZABETH VALE
Australian Kelpie X,no,Male,ELIZABETH VALE
Maltese,yes,Male,HILLBANK
Labrador Retriever,no,Female,CRAIGMORE
